id;;word;;definition;;speciality;;rank
n-verb-107;;convertirse en (e-ie);;to become;;None;;271
n-verb-108;;ganar;;to win; to earn;;None;;286
n-verb-109;;formar;;to form;;None;;287
n-verb-110;;traer;;to bring, carry;;None;;289
n-verb-111;;partir;;to depart; to divide, share;;None;;290
n-verb-112;;morir (o-ue);;to die;;None;;293
n-verb-113;;aceptar;;to accept;;None;;296
n-verb-114;;realizar;;to fulﬁll, carry out;;None;;299
n-verb-115;;suponer (-go);;to suppose;;None;;305
n-verb-116;;comprender;;to understand;;None;;306
n-verb-117;;lograr;;to achieve, attain;;None;;311
n-verb-118;;explicar (-qué);;to explain;;None;;316
n-verb-119;;preguntar;;to ask a question;;None;;323
n-verb-120;;tocar;;to touch; to play an instrument;;None;;325
n-verb-121;;reconocer;;to recognize, admit;;None;;327
n-verb-122;;estudiar;;to study;;None;;328
n-verb-123;;alcanzar;;to catch up with; to reach, reach for;;None;;329
n-verb-124;;alcanzar a infinitivo;;to be able to do something;;None;;329
n-verb-125;;nacer;;to be born;;None;;330
n-verb-126;;dirigir;;to direct, manage;;None;;331
n-verb-127;;correr;;to run;;None;;332
n-verb-128;;utilizar;;to utilize;;None;;338
n-verb-129;;pagar;;to pay;;None;;342
n-verb-130;;ayudar;;to help;;None;;345
n-verb-131;;ayudarse;;to make use of;;None;;345
n-verb-132;;gustar;;to be pleasing to;;None;;353
n-verb-133;;jugar;;to play a game or sport;;None;;355
n-verb-134;;escuchar;;to listen to;;None;;360
n-verb-135;;cumplir;;to fulﬁll;;None;;363
n-verb-136;;ofrecer;;to offer, present;;None;;368
n-verb-137;;descubrir;;to discover;;None;;369
n-verb-138;;levantar;;to raise, lift;;None;;372
n-verb-139;;intentar (376), pretender;;to try;;None;;584
n-verb-140;;usar;;to use;;None;;380
n-verb-141;;decidir;;to decide;;None;;381
n-verb-142;;repetir (e-i);;to repeat;;None;;382
n-verb-143;;olvidar;;to forget;;None;;383
n-verb-144;;valer;;to be worth, cost;;None;;387
n-verb-145;;comer;;to eat;;None;;389
n-verb-146;;mostrar (o-ue);;to show;;None;;392
n-verb-147;;ocupar;;to occupy, use;;None;;397
n-verb-148;;mover (o-ue);;to move;;None;;402
n-verb-149;;continuar;;to continue;;None;;403
n-verb-150;;suceder;;to happen;;None;;406
n-verb-151;;suceder a;;to follow or succeed in time;;None;;406
n-verb-152;;ﬁjar;;to set, ﬁx;;None;;407
n-verb-153;;fijarse;;to notice, pay attention;;None;;407
n-verb-154;;referir (e-ie);;to refer;;None;;409
n-verb-155;;acercar;;to come near;;None;;410
n-verb-156;;dedicar;;to dedicate, devote;;None;;415
n-verb-157;;aprender;;to learn;;None;;422
n-verb-158;;comprar;;to buy;;None;;437
n-verb-159;;subir;;to climb, go up;;None;;443
n-verb-160;;evitar;;to avoid; to prevent; to escape;;None;;446
n-verb-161;;interesar;;to interest;;None;;448
n-verb-162;;cerrar (e-ie);;to close;;None;;454
n-verb-163;;echar;;to throw, cast;;None;;455
n-verb-164;;echarse a infinitivo;;to break into doing something;;None;;455
n-verb-165;;responder;;to respond;;None;;456
n-verb-166;;sufrir;;to suffer, undergo;;None;;457
n-verb-167;;importar;;to matter, import;;None;;464
n-verb-168;;obtener (e-ie);;to obtain;;None;;466
n-verb-169;;observar;;to observe;;None;;478
n-verb-170;;indicar;;to indicate; to show;;None;;479
n-verb-171;;imaginar;;to imagine;;None;;486
n-verb-172;;soler (o-ue);;to be accustomed to;;None;;487
n-verb-173;;soler infinitivo (o-ue);;to usually do something/;;None;;487
n-verb-174;;detener (e-ie);;to stop, detain;;None;;490
n-verb-175;;desarrollar;;to develop;;None;;491
n-verb-176;;señalar;;to point out, signal;;None;;493
n-verb-177;;elegir (e-i);;to choose, elect;;None;;494
n-verb-178;;preparar;;to prepare;;None;;499
n-verb-179;;proponer (-go);;to propose;;None;;500
n-verb-180;;demostrar (o-ue);;to demonstrate;;None;;501
n-verb-181;;signiﬁcar;;to mean;;None;;502
n-verb-182;;reunir;;to unite, join; to have, possess; to gather, collect;;None;;509
n-verb-183;;reunirse;;to meet;;None;;509
n-verb-184;;faltar;;to be lacking;;None;;510
n-verb-185;;acompañar;;to accompany;;None;;512
n-verb-186;;desear;;to desire, wish for;;None;;515
n-verb-187;;enseñar;;to teach, show;;None;;524
n-verb-188;;construir;;to build;;None;;525
n-verb-189;;vender;;to sell;;None;;526
n-verb-190;;representar;;to represent;;None;;527
